ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
S.C.A.B.,Somebody In New York Loves You!,1241,,,Dreamy jangle pop with post-punk influences – recommended! ,https://scabmusic.bandcamp.com/album/somebody-in-new-york-loves-you,11/20/2025,11/21/2025,Grind Select
boutique feelings,"Shwaya, Shwaya",1242,,cancon,Experimental hip hop from Montreal – recommended,https://boutiquefeelings.bandcamp.com/album/shwaya-shwaya,11/20/2025,11/21/2025,Island
"Haley Heynderickx, Max García Conover",What of Our Nature,1245,,femcon,Polished folk songs – fans of Joni Mitchell will enjoy! ,https://haleyheynderickx.bandcamp.com/album/what-of-our-nature,11/20/2025,11/21/2025,Fat Possum Records
Oneohtrix Point Never,Tranquilizer,1247,,,"An excellent futuristic, imaginative soundscape from a visionary in the genre ",https://oneohtrixpointnever.bandcamp.com/album/tranquilizer,11/20/2025,11/21/2025,Warp
Sharp Pins,Balloon Balloon Balloon,1248,,,Jangle pop/garage/surf rock from Chicago – recommended,https://sharppins.bandcamp.com/album/balloon-balloon-balloon-2,11/20/2025,11/21/2025,perennialdeath
Bee Bee Sea,Stanzini Can Be Allright,1251,,,Garage rock from Italy – highly recommended,https://beebeesea.bandcamp.com/album/stanzini-can-be-allright,11/20/2025,11/21/2025,Wild Honey Records
Glitterer,erer,1257,,femcon,"Emo/post-hardcore from Washington, D.C.",https://glitterer.bandcamp.com/album/erer,11/20/2025,11/21/2025,
Sam Salmon & the Grand Manan Bandits,DOWN FOR LIFE,1275,,cancon,Country/americana from New Brunswick – super charming old-school vibe,https://samsalmon.bandcamp.com/album/down-for-life,11/20/2025,11/21/2025,
The xx,xx (Deluxe),1244,,femcon,The returrn of an indie classic ,https://thexx.bandcamp.com/album/xx-deluxe,11/20/2025,11/19/2025,Young
runo plum,patching,1268,,femcon,Dreamy indie folk from Minnesota – recommended! ,https://runoplum.bandcamp.com/album/patching,11/20/2025,11/14/2025,Winspear
AnAkA,CRISIS OF THE CONCRETE,1269,,femcon,"Experimental pop release employing choppy & bassy hip hop production, vocal layers, and skin drum percussion",https://4n4k4.bandcamp.com/album/crisis-of-the-concrete,11/20/2025,11/14/2025,Pineline Music Lab
Kalia Vandever,Another View,1273,,femcon,"A super fresh, intricate, & polished approach to jazz from a Brooklyn-based trombonist – love this one ",https://kaliavandever.bandcamp.com/album/another-view,11/20/2025,11/14/2025,Northern Spy
Shoko Nagai's Forbidden Flowers,Forbidden Flowers,1274,,,Experimental/avant-jazz from New York,https://infrequentseams.bandcamp.com/album/forbidden-flowers,11/20/2025,11/14/2025,Century Media
Hélène Barbier,Panorama,1276,,"cancon,femcon",Unique jangle-pop with an experimental/post-punk edge – highly recommended! ,https://helenebarbier.bandcamp.com/album/panorama,11/20/2025,11/14/2025,Bonsound
Austra,Chin Up Buttercup,1279,,"cancon,femcon",Dips heavy into 80s/90s pop vibes but super fresh & great production – recommended! ,https://austra.bandcamp.com/album/chin-up-buttercup,11/20/2025,11/14/2025,Domino Recording Co. Ltd.
